Date,Incident Narrative,Ground Truth
7/22/24,"After avoiding damaging oil infrastructure in early states of the. conflict, according to a newly published report, the ""SAF and RSF began attacking each other’s points of access to fuel to undermine the revenues and logistical advantage they could draw."" The report provides of map highlighting conflict-linked damages and spills at oil infrastructure.","Damage or destruction of civilian critical infrastructure,  Military operation (battle,  shelling)"
7/22/24,"""  On July 22, the Strategic Initiative for Women in the Horn of Africa (SIHA Network) released a new report on Conflict-Related Sexual Violence (CRSV) titled “Al Jazirah State and the Forgotten Atrocities ». The report provides details about the underreported violence against women perpetrated by the RSF fighters in Al Jazirah since they took control of most of the state in December 2023. The RSF were found responsible for 75 incidents of rape and sexual violence, including 14 cases of unwanted pregnancies. ""","Gender-based or other conflict-related sexual violence,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
7/22/24,""" On Monday, July 22, gunmen wearing RSF uniforms entered in a mosque in El Deyoum El Sharqiya in Khartoum, and killed the muezzin and a worshiper after reportedly trying to steal a solar power transformer. """,Willful killing of civilians
7/23/24,""" On July 23, the Sudanese NGO Justice Africa Sudan (JAS) reported that members of the Sudanese Baggara (cattle-breeders) tribe attacked the village of Abulhasan in Abu Kershola in northeast South Kordofan on Friday, July 19, killing at least 14 villagers and wounding 6 others. They then plundered the village, including residents’ property and last food reserves.""","Willful killing of civilians,  Mass execution"
7/25/24,"On July 25, Sudan’s air force bombed Al-Alaqa market in northern White Nile, causing widespread destruction. A video of the destruction was shared online by Sudan War Monitor.", Indiscriminate use of weapons
7/25/24,"According to a UN Security Council report on the situation of children in the Sudan Conflict from January 1, 2022 to December 31, 2023, there were at least 1,721 grave violations against children in 2023, a significant rise from the 306 cases recorded in 2022. These violations included over 480 children killed, 764 maimed, over 200 recruited into the conflict, and at least 114 girls raped or sujected to other forms of sexual violence."," Willful killing of civilians,  Gender-based or other conflict-related sexual violence,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
7/26/24,""" On Friday, July 26, there were explosions in Gandahar Market in Ombada. The explosions caused the burning of several vehicles and market goods, and several victims. A video of the destruction was shared by Sudan War Monitor. According to Sudan War Monitor, Gandahar Market is located in a populous RSF-controlled suburb of Sudan’s largest city, Omdurman, not far from the frontline, and it was attacked in May by a suspected SAF drone. ""","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
7/26/24,"""Based on a testimony of a community leader, Radio Dabanga reported that unidentified gunmen, on Friday, July 26, attacked and raped at gunpoint three sisteers aged between 18 and 23 after raiding Khor Bared farms, nine kilometres west of Nierteti in Central Darfur. According to the community leader, « The women were bound, beaten, raped at gunpoint, and left in a wadi with various head and leg injuries. » The gunmen also attacked two young farmers who were planting crops. ""","Gender-based or other conflict-related sexual violence,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
7/26/24,"On Friday, July 26, the Rapid Support Forces (RSF) captured six villages southeast of Sennar city while looting residents and forcing them to flee.The captured villages include the Al-Suki area, Al-Trirat Al-Kufa, Ibrahim Janqoh, Ku’ Al-Nahl, Trira Madani, Al-Khalij, and Qaladima.", Unlawful detention
7/27/24,"According to the reigonal government, on Saturday, on July 27, at least 25 people were killed and dozens wounded in an artillery and drone attack by the Rapid Support Forces (RSF) on El Fasher, North Darfur. But according to local resistance committees, the death toll from the RSF shelling in El Fasher has risen to 97, including both fatalities and injuries. The areas impacted by the shelling include Al-Radief, Al-Thawra, Daraj Al-Oula, as well as commercial districts like the main market and livestock and vegetable markets south of El Fasher. A private hospital, “Nabd Al-Hayat,” was also damaged by an RSF drone."," Willful killing of civilians,  Indiscriminate use of weapons"
7/28/24,""" On July 28, Human Rights Watch released a report titled «“Khartoum is not Safe for Women!”Sexual Violence against Women and Girls in Sudan’s Capital ». The report documents « widespread conflict-related sexual violence in Khartoum and its sister cities of Bahri and Omdurman since the conflict’s onset as witnessed by service providers to survivors of that sexual violence ». According to the report, « warring parties have subjected women and girls, from ages 9 through to at least 60, to widespread sexual violence, including rape and gang rape. Women and girls have also been subjected to forced marriage and child marriage. Men and boys have also been victims of sexual violence. It describes the impacts of sexual violence on survivors including health impacts. » ""","Gender-based or other conflict-related sexual violence,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation"
7/29/24,""" In the night of Monday, July 29, a suspected RSF drone targeted an army base in Rabak, White Nile state. Another drone reportedly attacked a special operations camp in Rabak, but was quickly neutralized. ""","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
7/29/24,"""In the night of Monday, July 29, two suspected RSF drones struck key government buildings in Al Damar, the capital city of River Nile state. The buidlings impacted include the Ministry of Local Government building, the intelligence service and police headquarters. ""","Damage or destruction of civilian critical infrastructure,  Indiscriminate use of weapons"
7/29/24,"On Monday, July 29, the Director General of the Ministry of Health in North Darfur State, Ibrahim Khater, accused the Rapid Support Forces (RSF) of bombing the Saudi Hospital in El Fasher with more than 15 shells, destroying parts of the rooms and a number of bechicles belonging to the state Ministry of Health. According to a statement issued by the Ministry of Health, Ibrahim Khater revealed the killing of 23 citizens during the bombing that was carried out today in El Fasher.","Damage or destruction of civilian critical infrastructure,  Willful killing of civilians,  Indiscriminate use of weapons"
7/31/24,"""On Wednesday, July 31, there was an intense fighting in El Fasher, capital of North Darfur, opposing the SAF and allied armed movements to the RSF. The violent clashes involved drones, artillery, and airstrikes and resulted, according to local authorities, in over 60 dead and about 100 injured. ""","Military operations (battle,  shelling),  Indiscriminate use of weapons"
7/31/24,"""In the morning of July 31, Sudan's military ruler, Lt General Abdel Fattah al-Burhan, reportedly escaped an an assassination attempt as he was attending a military parade and graduation ceremony for cadets from the Air and Naval colleges in Gebeit, Red Sea State. The meeting was reportedly disrupted by strikes by two suicide drones, killing 5 people and injuring others, according to a press statement released by the SAF. The alleged assassination attempt occured one day after the Sudan government signaled its openness to participate in ceasefire talks in Switzerland. """," Willful killing of civilians,  Indiscriminate use of weapons"
8/1/24,"""On Thursday, August 1st, Darfur 24 reported that intense artillery shelling between the SAF supported by the allied armed movements and the Rapid Support Forces (RSF) during the week forced hundreds of El Fasher residents to flee the city. In El Fasher city, at least 60 people were killed and 100 others wounded as a result of artillery shelling between the SAF and the RSF targeting the livestock market, the Awlad Al-Reef neighborhoods, the Aldaraja neighborhood, the grand market in the center of the city, and the Saudi Specialized Hospital, which was shelled with 15 projectles, according to Dr. Ibrahim Abdullah Khater, Director General of the Ministry of Health in the state. ""","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of Civilians,  Damage or destruction of civilian critical infrastructure"
8/1/24,"On August 1st, RSF killed 23 villagers in El Managil, El Gezira.","Willful killing of civilians,  Mass execution"
8/1/24,"""On Thursday, August 1st, at least two people died and 13 injured as a result of an artillery shelling of the Es Soug El Markazi (Central Market) in Khartoum in the morning. This is the first time Khartoum city has seen bombardment since the fighting in Khartoum abated. In a statement via social media, the Southern Belt* Emergency Room says that a shell fell in the city’s wholesale market.""","Military operations (battle,  shelling),  Indiscriminate use of weapons"
8/1/24,"On Thursday, August 1st, the Sudanese Armed Forces (SAF) regained control of positions previously held by the Rapid Support Forces (RSF) in the Al-Muhandisin and Al-Fatihab neighbourhoods in southern Omdurman. As a result, the RSF then withdrew towards the neighbouring areas of Al-Mansoura, Al-Muraba’at, and Al-Bustan. Military sources informed Sudan Tribune that the army also neutralized RSF pockets in the Hamad Al-Nil area and near the Al-Mansoura roundabout, situated on the border between Omdurman and Umbada localities. The Armed Forces also reported that dozens of RSF fighters were killed and weapons and ammunition seized during a special operation in the Al-Muhandisin and Al-Fatihab axis, Square 13.","Military operations (battle,  shelling)"
8/2/24,"On Friday, August 2nd, at least 13 people were killed and dozens injured as the Sudanese army (SAF) launched an airstrike on the Abuja IDP camp in El Fasher. Eyewitnesses from the Abuja IDP camp told Darfur 24 that the Army air force launched several airstrikes on Friday on Rapid Support Forces gatherings in the northeastern axis of El Fasher, including Abuja IDP camp, killing and wounding dozens of IDPs.","Indiscriminate use of weapons,  Willful killing of civilians"
8/3/24,"On Saturday, August 3rd, artillery shelling by RSF on El Fasher city killed at least 23 people and wounded 60 others, according to a report by local resistance committees. The Sudanese Air Force reportedly bombed RSF sites, and the RSF in retaliation fired shells towards the Sixth Infantry Division Command in the north of the city, the El Sawra neighbourhoods, and areas adjacent to the El Fasher Livestock Market.","Indiscriminate use of weapons,  Willful killing of civilians"
8/3/24,"""On Saturday, August 3rd, the SAF said it had repelled an attack by the Rapid Support Forces (RSF) in Blue Nile state, the first fighting between the two sides in the region bordering Ethiopia. The fighting occured in the Qali area of Al-Tadamun locality, a rural market town about 20 km from the Sennar State border and 95 km west of Damazin. The army reportedly destroyed RSF combat vehicles, killed dozens of fighters and seized others, whereas RSF claimed to control Al-Tadamun. According to local resistance committees, RSF fighters had entered the state on Saturday afternoon from Sennar state to the west. The fighters reached the Jariwa and Qali areas, killing and looting in Jariwa, before being repelled by the army in Qali.""","Military operations (battle,  shelling)"
8/3/24,"On Saturday, August 3, 2024, in the evening, a Sudanese Army's Antonov aircraft launched airstrikes on Al Zarq, Kabkabiya, and Kutum in North Darfur. In Kutum, 136 km northwest of Al Fasher, airstrikes hit the rural hospital with three missiles, destroying several rooms but causing no human casualties. A medical source, preferring anonymity, reported that dozens of patients in nearby wards escaped safely. The source suggested that the warplanes might have intended to target wounded Rapid Support Forces members in the hospital, which was crowded with civilians. Eyewitnesses in Al-Zarq, over 180 km north of Al-Fasher, reported intensive airstrikes on empty buildings, also without casualties. In Kabkabiya, 136 km west of Al-Fasher, airstrikes again caused no civilian casualties. A Kabkabiya resident mentioned that the Rapid Support Forces banned Starlink satellite internet service locations, suspecting that individuals were providing coordinates to the warplanes. The seventh airstrike on Kabkabiya left dozens dead and wounded, with the last incident in June resulting in one woman's death.","Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
8/3/24,"Following intense fighting between the Army and the RSF, seven members of the same familled were killed in an airstrike on the El Salam Abuja camp for the displaced in the northeast part of El Fasher.","Indiscriminate use of weapons,  Military operations (battle,  shelling)"
8/4/24,"On August 4th, according to two informed military sources, the Sudanese army took control of large areas west of Omdurman, including the Mansoura, Hamad Al-Nil and Al-Nakhil neighbourhoods and parts of the Abu Saad area after violent clashes with the RSF who reportedly suffered casualites and losses.","Military operations (battle,  shelling)"
8/4/24,"On Sunday, August 4th, 2024, in the evening, warplanes bombed the Zamzam IDP Camp, 17 km southwest of Al Fasher, with two explosive barrels, critically injuring four children and destroying 20 homes, including 16 homes in Labado neighborhood and 4 homes in Muhajiriya neighborhood. The Coordination and Media Office of the Zamzam IDP Camp Emergency Room reported that one of the barrels did not explode.", Indiscriminate use of weapons
8/4/24,"""On Sunday, August 4th, the Sudanese Armed Forces (SAF) continued their offensive in western Omdurman, seizing new positions after intense clashes with the Rapid Support Forces (RSF). The SAF established control over the western and northern fronts of the Engineers Corps, extending from the Bashir Bridge to the Mansoura suburb. Violent clashes occurred in the Al-Bustan and Al-Nakhil neighborhoods, causing the RSF to retreat towards Muraba’at, Al-Bank Al-Aqari, Souq Libya, and Dar Al-Salam. Artillery shells fell in several areas, but no casualties were reported. The army now controls Mansoura, a key RSF stronghold used for launching attacks. This strategic gain offers access to Dar Al-Salam, Souq Libya, Kandahar, and the Omdurman-Bara export road, a vital RSF supply route. Videos shared on pro-army pages show the army’s presence in Al-Muhandisin, Mansoura, and the capture of RSF vehicles.""","Military operations (battle,  shelling),  Indiscriminate use of weapons"
8/5/24,"Residents of Bargo Wadahouba, a village in the West of Sennar, who had been displaced to Sennar six months ago following fighting between the RSF and the SAF, were forced again to flee after the RSF gave a 48 hours ultimatum to leave."," Military operations (battle,  shelling)"
8/6/24,""" On Tuesday, August 6th, the RSF reported that the SAF conducted air raids on residential neighborhoods in Ghabish, North Kordofan State, which resulted in dozens of casualties, including the death of one young girl. """," Indiscriminate use of weapons,  Willful killing of civilians"
8/6/24,"On Tuesday, August 6th, despite the pact of non-agression between Sudan and South Sudan, Sudanese warplanes crossed the border of South Sudan and bombed Khortumbak, a town in Upper Nile State, killing two civilians and injuring others. According to Maban County Commissioner Peter Alberto, the warplanes also destroyed some homes and livestock.","Indiscriminate use of weapons,  Willful killing of civilians"
8/7/24,"On August 7, artillery shelling by the Rapid Support Forces (RSF) hit the northern countryside of Omdurman, particularly affecting the El Surorab area. The attack originated from the East Nile region controlled by the RSF, killing two civilians. RSF-affiliated media released a misleading video claiming the attack targeted Shendi in River Nile state. However, an investigation revealed that the shells actually struck Wad Hamid, an extension of the El Surorab area, south of Shendi.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of Civilians"
8/7/24,"Nidaa El Wasat El Gezira, a civil society organisation, reported that the RSF “assassinated” Residents of El Aseed Wad Mousa village in eastern El Gezira state reported that the RSF killed two civilians in separate incidents, including one person in El Hasahisa.",Willful killing of civilians
8/8/24,"On August 8th, in the morning, the RSF targeted several areas under the control of the SAF with artillery shelling in Omdurman.According to eyewitnesses, shells fell in the El Manara area located on the River Nile West bank, near the Halfaya Bridge whose Western and Eastern entrances are respectively controlled by the Army and the RSF.","Military operations (battle,  shelling),  Indiscriminate use of weapons"
8/8/24,"""On Thursday, August 8th, the El Fasher Resistance Committees, a group of pro-democracy activists, reported that at least 15 civilians were killed and dozens injured in an artillery attack by the RSF on El Fasher, North Darfur. The El Fasher Resistance Committees showed the damage caused by this attack to citizens' homes through photos circulated on their Facebook page. According to Darfur Governor Minni Minnawi, unarmed civilians were targeted in their homes, the livestock market in the western part of the city, and the Al Radif and Al-Thawra neighborhoods, killing dozens and injuring many. """, Willful killing of civilians
8/8/24,"Early in the morning of August 8th, there were violent clashes between the RSF and the SAF in central Khartoum.The RSF responded with anti-aircraft guns to the SAF airstrikes on RSF positions in the Sports City, South Belt, and Soba areas.","Military operations (battle,  shelling)"
8/9/24,""" Around August 9th, residents of El Gezira reported that rogue RSF fighters have been systematically looting villages. For example, residents in the Sharafat Alhalaween village complained that RSF fighters seized people’s vehicles, and « dozens of fighters stormed in on motorcycles and pickup trucks, firing guns in the air. The fighters, some in uniforms, went door to door grabbing money and valuables, prompting an exodus of thousands of people ». These accounts of violence against civilians inwere further corroborated by « 43 people from 20 communities - including residents, activists and RSF recruits » who were interviewed by Reuters and who described « a spiral of looting, kidnapping and killing after the group seized most of the state in December » """," Willful killing of Civilians,  Kidnapping"
8/9/24,"""On Friday, August 9th, the RSF bombed El Dayat Maternity Hospital in Omdurman just a day after it had reopened. This partly destroyed the hospital and forced the medical staff to close it and transfer to the Saudi Hospital which is also located in Omdurman. Although no casualties were reported, the incident reflects the renewed violence in Khartoum and its surrounding areas, causing many health facilities to shut down amidst ongoing clashes. """," Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure"
8/10/24,"On Saturday, August 10st, various sources, including the Sudanese army, medical sources and eyewitnesses reported that the RSF mobilized thousands of fighters and launched a massive offensive on El Fasher, North Darfur, from three directions (southern, northern and eastern axes) with intensive artillery shellings in order to take control of the city. However, the attack was repelled by the SAF who used warplanes and heavy artillery. The RSF targeted military and other strategic areas. In response, military sources told Darfur24, the Army’s « warplanes dropped more than 8 barrels on the eastern and northeastern neighborhoods of the city under the control of the Rapid Support Forces ». The Army also reported to have «  destroyed more than 12 RSF vehicles and seized about 20 others. It also claimed that hundreds of RSF fighters were killed. » However, these claims could not be verified by independent sources. The fighting caused civilian casualties - at least 3 civilians were executed — and forced many residents to flee. Some media outlets reported that at least 28 people were killed and 46 injured in the clashes.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of Civilians"
8/11/24,"""On Sunday, August 11th, according to a report of Sheldon Yett, UNICEF representative in Sudan, a « shell struck a UNICEF-supported child-friendly space in Al Hattana, Khartoum state, killing two boys and injuring at least 8 eight others. » """,Indiscriminate use of weapons. Willful killing of civilians
8/11/24,"On Sunday, August 11, The Sudanese army warplanes carried out heavy airstrikes on Al-Koma, located 76 km northeast of Al-Fasher, targeting the western neighborhood and city market with five shells. No civilian casualties were reported, and the army stated that the strikes were aimed at a Rapid Support Forces convoy led by Major General Al-Qoni Saeed. Additionally, the previous evening, air raids on Mellit, 65 km north of Al-Fasher, injured four people from the same family. The warplanes hit the western market area, causing injuries and damage without achieving any military objectives."," Indiscriminate use of weapons,  Military operations (battle,  shelling)"
8/11/24,"The MSF-supported Saudi HospitaL, the last remaining hospital in El Fasher, was attacked on Sunday, August 11. MSF announced that ""The surgical ward was hit during the bombardment, killing a patient’s caretaker, injuring five others, and damaging the maternity unit. In addition, a number of hospital offices were hit, and a nurse sustained injuries while working inside."""," Willful killing of Civilians,  Damage or destruction of civilian critical infrastructure"
8/12/24,"On Monday, August 12, the Sennar Youth Gathering accused the Rapid Support Forces (RSF) of a massacre in Jalqani village, south of Abu Hajar locality in Sennar State, which resulted in 15 civilian deaths. The Sennar Youth Gathering stated that villagers, mostly simple farmers, attempted to defend themselves with limited weapons but were overwhelmed by the RSF’s superior firepower. The attack left at least 15 dead and many wounded.", Willful killing of Civilians
8/13/24,"On Tuesday, August 13, The Sudanese Army’s warplanes conducted airstrikes on Kutum, 155 km northwest of El Fasher. One eyewitness said that the warplanes bombed the Al Salama West neighborhood with projectiles, causing no casualties or damage. The aircraft dropped explosive barrels on uninhabited areas west of the city.","Military operations (battle,  shelling),  Indiscriminate use of weapons"
8/14/24,"""On August 14, Sudan War Monitor reported that RSF fighters arrested and beat civilians in Kabkabiya, North Darfur, accusing them of collaborating with and giving information to the Sudan Armed Forces to help direct airstrikes against the city. Kabkabiya is located a few hours’ drive west of El Fasher and has been under RSF control since the conflict began. (See video included) ""","Torture or indications of torture,  Unlawful detention"
8/15/24,"On Thursday, August 15, the Al-Khansa Secondary School for Girls and a crowded marketplace were devastated by a bomb in El Obeid city in Kordofan state. In the school, 3 girls were killed and 20 others were injured according to UNICEF’s country representative in Sudan.","Indiscriminate use of weapons,  Willful killing of civilians"
8/16/24,"On Friday, August 16, at least six people were killed, and dozens were injured, when RSF paramilitaries raided the village of Beida, in the western part of Ed Dinder in Sennar state. Hillet Bir Wad Agrab in eastern Ed Dinder also witnessed attacks by RSF.", Willful killing of Civilians
8/16/24,""" On Friday, August 16, the RSF reportedly attacked several villages of El Gezira. In El Jadeed El Sawra, RSF elements two brothers, Suheib and Nizar Bataran, in their house and drove away their car. The RSF forced residents of the villages of Wad Zalam and El Faki Hamid to flee. And the same day, RSF attacked the El Majma Goz El Naga village, killing more than 20 people, mostly children, and wounding many others.""", Willful killing of Civilians
8/16/24,"On Friday, August 16, a local resistance committee reported that four detainees from Khartoum’s Tuti Island died last May in RSF. The information was revelaed by a family member of one of the deceased to the local resistance committee.","Unlawful detention,  Violent crackdowns on protesters/opponents/civil rights abuse"
8/16/24,"On Friday, August 16th, the RSF attacked the village of Jalgini in Sennar state, killing at 80 people and torching homes. A medical source at the village hospital where the dead and injured were carried to reported to AFP: ""We received 55 dead and dozens of wounded at the hospital on Thursday, and 25 of them died on Friday, bringing the death toll to 80."" According to a local youth leader who reported the attack to Radio Dabanga, at least 108 people were killed and the majority of the most of the 14,000 inhabitants of the village fled via the north and crossed the border to neibhoring Blue Nile region, taking their wounded relatives to Ed Damazin Hospital.", Willful killing of Civilians
8/16/24,""" On Friday, August 16, a local resistance commitee reported that at least 8 people were killed as a result of an attack attributed to the RSF militia on a town of Al Jazirah state. The village of Qoz Al-Naqa in the Abu Kuta area, where there is no military presence, was specifically targeted, according to the source. """, Willful killing of Civilians
8/17/24,"""On Saturday, August 17, the Army’s warplanes, according to a report by the The Resistance Committee of the “Al-Abyad  Waldaham” areas in rural Khartoum Bahri, bombed civilian sites, including homes and facilities. The bombing left 10 civilians dead. However, military claim that the attacks targeted RSF positions rather than civilian sites. The committee reported that “the army’s warplanes bombed the Al-Fazarab neighbourhood in the Al-Abyad  Waldaha area, resulting in the deaths of 10 individuals, most of them children, and the injury of 4 others, others, in addition to the destruction of several homes.” ""","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians"
8/18/24,"""Between August 13 and 18, an attack attributed to RSF displaced about 233 households in Galgani Town, Abu Hugar locality, in in Sudan’s Sennar state. According to IOM data, the displaced households sought shelter in locations across Ed Damazine, Blue Nile. """,Indiscriminate use of weapons
8/19/24,"""On Monday, August 19, the RSF intensified its artillery shelling of Omdurman from their positions in Khartoum Bahri, firing over 14 shells into the Al-Shahinab district, West of the Nile. The RSF are reported to be using mortars and Katyusha rockets for their attacks, damaging infrastructure such as the Al-Shuhada transportation station. ""","Indiscriminate use of weapons,  Military operations (battle,  shelling)"
8/19/24,""" On Monday, August 19, the Sudanese Army’ s warplanes bombed the North Darfur towns of El Taweisha and Mellit, causing an unknown number of dead and injured in El Taweisha. In Mellit, the bombing destroyed the buildings of the Water Corporation, the Forestry Office, and several houses located in the neighborhoods. ""","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians"
8/20/24,"On Tuesday, August 20, Sudanese warplanes carried out a series of deadly airstrikes in the Darfur region, targeting the cities of Al-Daien, Al-Fasher, and Al-Tawisha in Darfur. In Al-Daien, which is reported to be « the historical capital of the Rizeigat tribe and a stronghold of the RSF », the strikes hit teaching hospital and a displacement centre, causing at least 15 deaths and dozens of injuries. Speaking to Radio Dabanga from Ed Daein, a woman reported that the Sudanese Air Force targeted the Ed Daein Teaching Hospital, the kidney dialysis centre, the city’s main market, the Grand Mosque, and El Khansaa Elementary School for Girls.","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
8/20/24,"On Tuesday, August 20, Sudanese warplanes carried out a series of deadly airstrikes in the Darfur region, targeting the cities of Al-Daien, Al-Fasher, and Al-Tawisha in Darfur, killing dozens of civilians. In response to the bombing, the RSF launched artillery strikes on civilian areas in Al-Fasher, North Darfur, which caused further deaths and injuries.","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians"
8/20/24,"On Tuesday, August 20, Sudanese warplanes carried out a series of deadly airstrikes in the Darfur region, targeting the cities of Al-Daien, Al-Fasher, and Al-Tawisha in Darfur, killing dozens of civilians.","Indiscriminate use of weapons,  Military operations (battle,  shelling),  Willful killing of civilians"
8/20/24,""" On Tuesday, August 20, Sudanese warplanes carried out a series of deadly airstrikes in Al-Jazirah state, causing dozens of civilian casualties. One of the targeted areas was Al-Hasaheisa.""","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of Civilians"
8/22/24,"According to a medical source, on Thursday, August 22, RSF shelling that targeted residential areas in Omdurman and hit villages in the northern countryide of that city, killed at least two people and injured about 15 others."," Indiscriminate use of weapons,  Willful killing of civilians"
8/22/24,"On Thursday, August 22, the RSF reportedly intensified its shelling in El Fasher, North Darfur, targeting residential neighbourhoods, the airport and an army base.",Indiscriminate use of weapons
8/23/24,"As a result of starvation and lack of medical treament caused by the aid blockade, destruction and closure of healthcare facilities following the repeated shelling of Zamzam camp and other parts of El Fasher by RSF, children have been reportedly dying in the Zamzam camp.","Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
8/26/24,"On Monday, August 26, an official of the Health Ministry reported 25 people were killed and dozens wounded after shells hit the Abu Shouk camp which has been hosting about 400,000 displaced people. Residential areas and a police hospital were also hit by shells. The shelling was attributed by some witnesses to the RSF.",Indiscriminate use of weapons
8/26/24,"On Monday, August 27, eyewitnesses reported that an RSF group from West Darfur attempted to loot the Mellit market, sparking resistance from local RSF members.","Indiscriminate use of weapons,  Movement of military,  paramilitary,  or other troops and equipment,  "
8/27/24,""" On Tuesday, August 27, deadly clashes between rival factions of Sudan’s Rapid Support Forces (RSF) in Mellit, North Darfur, left seven dead from both sides, destroyed two vehicles, and heightened tensions in the region. Markets remained closed and residents confined to their homes.""","Movement of military,  paramilitary,  or other troops and equipment,  Military Operations (battle,  shelling),  Indiscriminate use of weapons"
8/30/24,"""Around August 30, the SAF and the RSF released contradictory statements, with each claiming to control the Bunzuqa area, which is part of the Al-Suki locality on the eastern bank of the Nile, in Sennar state. The army also reported the capture of some localities in Sennar, including the villages of Jalqani and Al-Lukundi whereas RSF claimed that the SAF bombed the city of Al-Dinder in Sennar state, killing civilians and destroying homes.""","Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment,  Willful killing of civilians"
8/30/24,"On Friday, August 30, the Sudanese Health Ministry reported that  an artillery shelling by the RSF killed 7 people and wounded 25 others in Omdurman. The attack affected civilian-populated areas in Karari, and the northern and western parts of Omdurman, including the Bir Hammad market,  the Bant market, the Chinese hospital, and the Al-Thawra suburb. ","Indiscriminate use of weapons,  Willful killing of civilians"
8/30/24,"The army also the capture of some localities in Sennar, including the villages of Jalqani and Al-Lukundi whereas RSF claimed that the SAF bombed the city of Al-Dinder in Sennar state, killing civilians and destroying homes.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civillians."
8/30/24,"The army reportedly captured some localities in Sennar, including the villages of Jalqani and Al-Lukundi whereas RSF claimed that the SAF bombed the city of Al-Dinder in Sennar state, killing civilians and destroying homes.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civillians."
8/31/24,"On Saturday, August 31, at 8:30 pm,  SAF warplanes launched an airstrike on Jabrat El Sheikh, 160 km north of  El Obeid, the capital city of North Kordofan. No casualties were reported, but  the airstrikes damaged at least two homes and public facilities. The airstrikes targeted also official buildings such as the offices of Jabrat El Sheikh locality, the courthouse and the police station in the northeastern part of the town that the RSF have been using as headquarters.","Military operations (battle,  shelling),  Indiscriminate use of weapons"
8/31/24,"On Saturday, August 31, several  neighborhoods and RSF positions in Mellit were reportedly hit by bombs dropped by the SAF warplanes, leaving at least 11 people dead and 9 others injured. ","Military operations (battle,  shelling)"
8/31/24,"On Saturday, August 31 in the morning,  SAF warplanes bombed  the wholesale market, Es Soug El Markazi,  in the southern part of the Wad Madani, capital of El Gezira, which is under RSF control. Even though, an RSF position seems to have been targeted, the aerial bombardment caused much destruction in the area and casualties among civilians, including street vendors, tea and coffee sellers along the roads near the market.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians"
8/31/24,"On Saturday, August 31, at around 10:00pm, the Sudanese Air Force bombed several areas of Zalingei, the capital city of Central Darfur, which is under RSF control. The sites affected by the bombing include the Khamsa Dagayed camp for displaced people, the Karnak neighbourhood in the centre of the city, and an area near the Zalingei Grand Market. At least 5 people were killed and six injured.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of Civilians"
9/2/24,"On Monday, September 2nd, at least 10 people were killed and more than 40 injured as a result of the Sudanese Army’s airstrikes on Mellit, a city of North Darfur that is under the RSF control.Out of 10 bombs dropped by a warplane, a witness reported that « eight hit the al-Nasr and al-Qubba neighbourhoods and destroyed four houses » while « two bombs fell in the al-Aish and al-Tawahin market, causing deaths, injuries and extensive damage.»","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of Civilians"
